,topic_id,member_id,vote
0,20121017-1,TSANG Yok-sing,Present
1,20121017-1,Albert HO,Yes
2,20121017-1,LEE Cheuk-yan,Yes
3,20121017-1,James TO,Yes
4,20121017-1,CHAN Kam-lam,No
5,20121017-1,LEUNG Yiu-chung,Yes
6,20121017-1,Dr LAU Wong-fat,No
7,20121017-1,Emily LAU,Yes
8,20121017-1,TAM Yiu-chung,No
9,20121017-1,Abraham SHEK,No
10,20121017-1,Tommy CHEUNG,No
11,20121017-1,Frederick FUNG,Yes
12,20121017-1,Vincent FANG,No
13,20121017-1,WONG Kwok-hing,No
14,20121017-1,Prof Joseph LEE,Yes
15,20121017-1,Jeffrey LAM,No
16,20121017-1,Andrew LEUNG,No
17,20121017-1,WONG Ting-kwong,No
18,20121017-1,Ronny TONG,Yes
19,20121017-1,Cyd HO,Yes
20,20121017-1,Starry LEE,No
21,20121017-1,Dr LAM Tai-fai,No
22,20121017-1,CHAN Hak-kan,No
23,20121017-1,CHAN Kin-por,No
24,20121017-1,Dr Priscilla LEUNG,No
25,20121017-1,Dr LEUNG Ka-lau,Absent
26,20121017-1,CHEUNG Kwok-che,Yes
27,20121017-1,WONG Kwok-kin,No
28,20121017-1,IP Kwok-him,No
29,20121017-1,Mrs Regina IP,No
30,20121017-1,Paul TSE,Abstain
31,20121017-1,Alan LEONG,Yes
32,20121017-1,LEUNG Kwok-hung,Absent
33,20121017-1,Albert CHAN,Yes
34,20121017-1,WONG Yuk-man,Yes
35,20121017-1,Claudia MO,Yes
36,20121017-1,Michael TIEN,No
37,20121017-1,James TIEN,No
38,20121017-1,NG Leung-sing,No
39,20121017-1,Steven HO,No
40,20121017-1,Frankie YICK,No
41,20121017-1,WU Chi-wai,Yes
42,20121017-1,YIU Si-wing,No
43,20121017-1,Gary FAN,Yes
44,20121017-1,MA Fung-kwok,No
45,20121017-1,Charles Peter MOK,Yes
46,20121017-1,CHAN Chi-chuen,Yes
47,20121017-1,CHAN Han-pan,No
48,20121017-1,Dr Kenneth CHAN,Yes
49,20121017-1,CHAN Yuen-han,No
50,20121017-1,LEUNG Che-cheung,No
51,20121017-1,Kenneth LEUNG,Yes
52,20121017-1,Alice MAK,No
53,20121017-1,Dr KWOK Ka-ki,Yes
54,20121017-1,KWOK Wai-keung,No
55,20121017-1,Dennis KWOK,Yes
56,20121017-1,Christopher CHEUNG,No
57,20121017-1,Dr Fernando CHEUNG,Yes
58,20121017-1,SIN Chung-kai,Yes
59,20121017-1,Dr Helena WONG,Yes
60,20121017-1,IP Kin-yuen,Yes
61,20121017-1,Dr Elizabeth QUAT,No
62,20121017-1,Martin LIAO,No
63,20121017-1,POON Siu-ping,No
64,20121017-1,TANG Ka-piu,No
65,20121017-1,Dr CHIANG Lai-wan,No
66,20121017-1,Ir Dr LO Wai-kwok,No
67,20121017-1,CHUNG Kwok-pan,No
68,20121017-1,Christopher CHUNG,No
69,20121017-1,Tony TSE,No
70,20121017-2,TSANG Yok-sing,Present
71,20121017-2,Albert HO,Yes
72,20121017-2,LEE Cheuk-yan,Yes
73,20121017-2,James TO,Yes
74,20121017-2,CHAN Kam-lam,No
75,20121017-2,LEUNG Yiu-chung,Yes
76,20121017-2,Dr LAU Wong-fat,No
77,20121017-2,Emily LAU,Yes
78,20121017-2,TAM Yiu-chung,No
79,20121017-2,Abraham SHEK,No
80,20121017-2,Tommy CHEUNG,No
81,20121017-2,Frederick FUNG,Yes
82,20121017-2,Vincent FANG,No
83,20121017-2,WONG Kwok-hing,No
84,20121017-2,Prof Joseph LEE,Yes
85,20121017-2,Jeffrey LAM,No
86,20121017-2,Andrew LEUNG,No
87,20121017-2,WONG Ting-kwong,No
88,20121017-2,Ronny TONG,Yes
89,20121017-2,Cyd HO,Yes
90,20121017-2,Starry LEE,No
91,20121017-2,Dr LAM Tai-fai,No
92,20121017-2,CHAN Hak-kan,No
93,20121017-2,CHAN Kin-por,No
94,20121017-2,Dr Priscilla LEUNG,No
95,20121017-2,Dr LEUNG Ka-lau,Absent
96,20121017-2,CHEUNG Kwok-che,Yes
97,20121017-2,WONG Kwok-kin,No
98,20121017-2,IP Kwok-him,No
99,20121017-2,Mrs Regina IP,No
